wikidata,entry-date,name,wikipedia,sitelink,website,twitter,start-date,end-date
Q4787008,2021-02-14T16:55:39Z,Architects Registration Board,https://en.wikipedia.org/wiki/Architects_Registration_Board,Architects Registration Board,http://www.arb.org.uk,,,
Q39045922,2021-01-24T04:09:43Z,Building Regulations Advisory Committee,https://en.wikipedia.org/wiki/Building_Regulations_Advisory_Committee,Building Regulations Advisory Committee,,,,
Q5533909,2021-01-26T13:22:05Z,GeoPlace,https://en.wikipedia.org/wiki/GeoPlace,GeoPlace,https://www.geoplace.co.uk/,GeoPlaceLLP,,
Q5635120,2021-02-05T02:33:25Z,HM Land Registry,https://en.wikipedia.org/wiki/HM_Land_Registry,HM Land Registry,https://www.gov.uk/government/organisations/land-registry,hmlandregistry,1862-01-01T00:00:00Z,
Q1478750,2021-04-11T19:15:55Z,Health and Safety Executive,https://en.wikipedia.org/wiki/Health_and_Safety_Executive,Health and Safety Executive,http://www.hse.gov.uk,h_s_e,,
Q19604421,2021-04-11T17:36:27Z,Historic England,https://en.wikipedia.org/wiki/Historic_England,Historic England,https://historicengland.org.uk/,,1984-01-01T00:00:00Z,
Q5890410,2021-01-27T12:39:13Z,Homes England,https://en.wikipedia.org/wiki/Homes_England,Homes England,https://www.gov.uk/government/organisations/homes-england,HomesEngland,2018-01-01T00:00:00Z,
Q39046108,2021-02-07T01:50:35Z,Housing Ombudsman,https://en.wikipedia.org/wiki/Housing_Ombudsman,Housing Ombudsman,,housingombuds,,
Q81054630,2021-01-24T05:35:58Z,Leasehold Advisory Service,,,https://www.lease-advice.org/,,,
Q6515400,2021-02-04T11:33:48Z,Lee Valley Regional Park Authority,https://en.wikipedia.org/wiki/Lee_Valley_Regional_Park_Authority,Lee Valley Regional Park Authority,https://www.leevalleypark.org.uk/,,,
Q601819,2021-02-17T04:05:21Z,"Ministry of Housing, Communities & Local Government","https://en.wikipedia.org/wiki/Ministry_of_Housing,_Communities_and_Local_Government","Ministry of Housing, Communities and Local Government",http://www.gov.uk/dclg,mhclg,2006-05-01T00:00:00Z,
Q1334971,2021-03-17T08:32:18Z,Office for National Statistics,https://en.wikipedia.org/wiki/Office_for_National_Statistics,Office for National Statistics,https://cy.ons.gov.uk/,ONS,1996-04-01T00:00:00Z,
Q1334971,2021-03-17T08:32:18Z,Office for National Statistics,https://en.wikipedia.org/wiki/Office_for_National_Statistics,Office for National Statistics,https://www.ons.gov.uk/,ONS,1996-04-01T00:00:00Z,
Q548721,2021-02-03T18:17:23Z,Ordnance Survey,https://en.wikipedia.org/wiki/Ordnance_Survey,Ordnance Survey,https://www.ordnancesurvey.co.uk/,ordnancesurvey,1791-01-01T00:00:00Z,
Q7201367,2021-02-06T15:58:50Z,Planning Inspectorate,https://en.wikipedia.org/wiki/Planning_Inspectorate,Planning Inspectorate,,PINSgov,,
Q65071973,2021-02-04T02:53:16Z,Regulator of Social Housing,https://en.wikipedia.org/wiki/Regulator_of_Social_Housing,Regulator of Social Housing,https://www.gov.uk/rsh,rshengland,2018-01-01T00:00:00Z,
Q7912696,2021-02-04T12:07:22Z,Valuation Office Agency,https://en.wikipedia.org/wiki/Valuation_Office_Agency,Valuation Office Agency,,,,
Q81056025,2021-02-06T02:39:14Z,Valuation Tribunal Service,,,https://www.valuationtribunal.gov.uk/,,,
Q81075624,2021-02-14T04:20:07Z,Valuation Tribunal for England,,,https://www.gov.uk/government/organisations/valuation-tribunal-for-england,,,
Q19604421,2021-04-11T17:36:27Z,Historic England,https://en.wikipedia.org/wiki/Historic_England,Historic England,https://historicengland.org.uk/,,1984-01-01T00:00:00Z,
Q5890410,2021-01-27T12:39:13Z,Homes England,https://en.wikipedia.org/wiki/Homes_England,Homes England,https://www.gov.uk/government/organisations/homes-england,HomesEngland,2018-01-01T00:00:00Z,
Q1334971,2021-03-17T08:32:18Z,Office for National Statistics,https://en.wikipedia.org/wiki/Office_for_National_Statistics,Office for National Statistics,https://cy.ons.gov.uk/,ONS,1996-04-01T00:00:00Z,
Q1334971,2021-03-17T08:32:18Z,Office for National Statistics,https://en.wikipedia.org/wiki/Office_for_National_Statistics,Office for National Statistics,https://www.ons.gov.uk/,ONS,1996-04-01T00:00:00Z,
Q548721,2021-02-03T18:17:23Z,Ordnance Survey,https://en.wikipedia.org/wiki/Ordnance_Survey,Ordnance Survey,https://www.ordnancesurvey.co.uk/,ordnancesurvey,1791-01-01T00:00:00Z,
Q65071973,2021-02-04T02:53:16Z,Regulator of Social Housing,https://en.wikipedia.org/wiki/Regulator_of_Social_Housing,Regulator of Social Housing,https://www.gov.uk/rsh,rshengland,2018-01-01T00:00:00Z,
