lrf,name,statistical-geography
avon-&-somerset,Avon & Somerset,E48000001
bedfordshire,Bedfordshire,E48000002
cambridgeshire,Cambridgeshire,E48000003
cheshire,Cheshire,E48000004
cleveland,Cleveland,E48000005
cumbria,Cumbria,E48000006
derbyshire,Derbyshire,E48000007
devon-cornwall-&-isle-of-scilly,"Devon, Cornwall & Isle of Scilly",E48000008
dorset,Dorset,E48000009
durham-&-darlington,Durham & Darlington,E48000010
essex,Essex,E48000011
gloucestershire,Gloucestershire,E48000012
greater-manchester,Greater Manchester,E48000013
hampshire-&-isle-of-wight,Hampshire & Isle of Wight,E48000014
hertfordshire,Hertfordshire,E48000015
humber,Humber,E48000016
kent,Kent,E48000017
lancashire,Lancashire,E48000018
leicestershire,Leicestershire,E48000019
lincolnshire,Lincolnshire,E48000020
london,London,E48000021
merseyside,Merseyside,E48000022
norfolk,Norfolk,E48000023
north-yorkshire,North Yorkshire,E48000024
northamptonshire,Northamptonshire,E48000025
northumbria,Northumbria,E48000026
nottinghamshire,Nottinghamshire,E48000027
south-yorkshire,South Yorkshire,E48000028
staffordshire,Staffordshire,E48000029
suffolk,Suffolk,E48000030
surrey,Surrey,E48000031
sussex,Sussex,E48000032
thames-valley,Thames Valley,E48000033
warwickshire,Warwickshire,E48000034
west-mercia,West Mercia,E48000035
west-midlands,West Midlands,E48000036
west-yorkshire,West Yorkshire,E48000037
wiltshire-&-swindon,Wiltshire & Swindon,E48000038
dyfed-powys,Dyfed-Powys,W41000001
gwent,Gwent,W41000002
north-wales,North Wales,W41000003
south-wales,South Wales,W41000004
